Filer_ID,Filer_NamL,Report_Num,Committee_Type,Rpt_Date,From_Date,Thru_Date,Elect_Date,tblCover_Office_Cd,tblCover_Offic_Dscr,Rec_Type,Form_Type,Tran_ID,Entity_Cd,Payee_NamL,Payee_NamF,Payee_NamT,Payee_NamS,Payee_Adr1,Payee_Adr2,Payee_City,Payee_State,Payee_Zip4,Expn_Date,Amount,Cum_YTD,Expn_ChkNo,Expn_Code,Expn_Dscr,Agent_NamL,Agent_NamF,Agent_NamT,Agent_NamS,Cmte_ID,Tres_NamL,Tres_NamF,Tres_NamT,Tres_NamS,Tres_Adr1,Tres_Adr2,Tres_City,Tres_ST,Tres_ZIP4,Cand_NamL,Cand_NamF,Cand_NamT,Cand_NamS,Office_Cd,Offic_Dscr,Juris_Cd,Juris_Dscr,Dist_No,Off_S_H_Cd,Bal_Name,Bal_Num,Bal_Juris,Sup_Opp_Cd,Memo_Code,Memo_RefNo,BakRef_TID,G_From_E_F,XRef_SchNm,XRef_Match
892160,"International Association of Firefighter Local 55 Political Action, Sponsored by: Int'l Assoc. of Firefighter Local 55",002,RCP,2015-10-27,2015-01-01,2015-06-30,,,,EXPN,D,EXP57574,COM,Dan Kalb City Council Officeholder Committee,,,,,,Oakland,CA,94612,2015-04-15,500,800,,MON,,,,,,1361954,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,City of Oakland,1,H,,,,S,,EXP57574,,,,
892160,"International Association of Firefighter Local 55 Political Action, Sponsored by: Int'l Assoc. of Firefighter Local 55",002,RCP,2015-10-27,2015-01-01,2015-06-30,,,,EXPN,D,NON57571,COM,Dan Kalb City Council Officeholder Committee,,,,,,Oakland,CA,94612,2015-04-16,300,800,,IKD,Use of IAFF 55 PAC Union Hall,,,,,1361954,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,City of Oakland,1,H,,,,S,,NON57571,,,,
1342695,East Bay Rental Housing Association PAC,001,RCP,2017-07-04,2016-07-01,2016-12-31,,,,EXPN,D,EDT23,COM,Dan Kalb for CC 2016,,,,,,,,,2016-11-03,148.12,148.12,,IND,Mailer,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
1294190,"Unity PAC, a sponsored committee of the Alameda Labor Council, AFL-CIO",001,RCP,2017-01-31,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EXP837,COM,Kalb for Oakland City Council 2016,Re-elect Dan,,,,,Oakland,CA,94618,2016-10-11,700,700,,MON,,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,City of Oakland,1,,,,,S,,,,,,
943526,Oakland Police Officer's Association - Political Action Committee,000,RCP,2017-01-12,2016-10-23,2016-12-31,,,,EXPN,D,PDT30,COM,Dan Kalb 2016,,,,,,,,,2016-10-27,676.57,13093.53,,IND,Data for Mailer in opposition to Dan Kalb,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
1379618,Transport Oakland,000,RCP,2016-10-27,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EXP289,COM,Re-Elect Dan Kalb Oakland City Council 2016,,,,,,Oakland,CA,94612,2016-10-10,300,300,,MON,,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,City of Oakland,1,,,,,S,,,,,,
943526,Oakland Police Officer's Association - Political Action Committee,000,RCP,2016-10-23,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EDT66,COM,Dan Kalb 2016,,,,,,,,,2016-10-06,2916.63,12416.96,,IND,Printing of mailer in opposition to Dan Kalb,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
943526,Oakland Police Officer's Association - Political Action Committee,000,RCP,2016-10-23,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EDT75,COM,Dan Kalb 2016,,,,,,,,,2016-10-06,5590.36,12416.96,,IND,Mailing and Postage in opposition to Dan Kalb,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
943526,Oakland Police Officer's Association - Political Action Committee,000,RCP,2016-10-23,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EDT82,COM,Dan Kalb 2016,,,,,,,,,2016-10-06,1650,12416.96,,IND,Design of mailer in opposition of Dan Kalb.,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
943526,Oakland Police Officer's Association - Political Action Committee,000,RCP,2016-10-23,2016-09-25,2016-10-22,2016-11-08,,,EXPN,D,EDT81,COM,Dan Kalb 2016,,,,,,,,,2016-10-11,2259.97,12416.96,,IND,Mailing and Postage in opposition to Dan Kalb,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"Oakland, CA",1,,,,,O,,,,,,
892160,"International Association of Firefighter Local 55 Political Action, Sponsored by: Int'l Assoc. of Firefighter Local 55",000,RCP,2016-09-29,2016-07-01,2016-09-24,2016-11-08,,,EXPN,D,EXP76877,COM,Re-elect Dan Kalb Oakland City Council 2016,,,,,,Oakland,CA,94612,2016-09-06,700,700,,MON,,,,,,,,,,,,,,,,Dan Kalb,,,,CCM,,OTH,"City of Oakland, CA",1,,,,,S,,,,,,
1395580,Abel Guillen for City Council 2018,000,CTL,2017-07-22,2017-01-01,2017-06-30,,,,EXPN,D,EXP11,COM,Dan Kalb for State Assembly 2018,,,,,,Sacramento,CA,95815,2017-06-30,250,250,,MON,,,,,,,,,,,,,,,,Dan Kalb,,,,ASM,,ASM,,15,,,,,S,,,,,,
